mathnorm,s_class,s_school,enrollment,classsize,female,class_id
-.3643161,.5,.3518519,54,16,1,1
-.1546632,.5,.3518519,54,16,1,1
-.7626567,.5,.3518519,54,16,1,1
-1.538373,.5,.3518519,54,16,0,1
-1.412581,.5,.3518519,54,16,1,1
-1.538373,.5,.3518519,54,16,0,1
-.9723096,.5,.3518519,54,16,0,1
-1.538373,.5,.3518519,54,16,1,1
-.4691426,.5,.3518519,54,16,1,1
-1.412581,.5,.3518519,54,16,1,1
-1.181962,.5,.3518519,54,16,1,1
-1.810921,.5,.3518519,54,16,0,1
-.6578302,.5,.3518519,54,16,0,1
-1.181962,.5,.3518519,54,16,0,1
.3065732,.5,.3518519,54,16,0,1
-1.538373,.2105263,.3518519,54,19,0,2
-1.307754,.2105263,.3518519,54,19,0,2
-.4691426,.2105263,.3518519,54,19,1,2
-1.412581,.2105263,.3518519,54,19,0,2
-1.68513,.2105263,.3518519,54,19,0,2
-1.077136,.2105263,.3518519,54,19,0,2
-.5530037,.2105263,.3518519,54,19,0,2
-1.181962,.2105263,.3518519,54,19,0,2
-.2594897,.2105263,.3518519,54,19,0,2
-1.957678,.2105263,.3518519,54,19,0,2
-.6578302,.2105263,.3518519,54,19,1,2
-.3643161,.2105263,.3518519,54,19,0,2
-1.077136,.2105263,.3518519,54,19,0,2
-.8674831,.2105263,.3518519,54,19,0,2
-.0288714,.2105263,.3518519,54,19,0,2
-.4691426,.2105263,.3518519,54,19,0,2
-1.181962,.2105263,.3518519,54,19,0,2
-.7626567,.2105263,.3518519,54,19,1,2
-.4691426,.368421,.3518519,54,19,0,3
-.8674831,.368421,.3518519,54,19,1,3
.1807815,.368421,.3518519,54,19,0,3
.432365,.368421,.3518519,54,19,1,3
-.1546632,.368421,.3518519,54,19,0,3
.3065732,.368421,.3518519,54,19,0,3
-1.181962,.368421,.3518519,54,19,1,3
-.7626567,.368421,.3518519,54,19,0,3
-.8674831,.368421,.3518519,54,19,0,3
-1.181962,.368421,.3518519,54,19,1,3
.8936014,.368421,.3518519,54,19,1,3
-.6578302,.368421,.3518519,54,19,1,3
.5791221,.368421,.3518519,54,19,0,3
-.3643161,.368421,.3518519,54,19,0,3
-.4691426,.368421,.3518519,54,19,0,3
-.3643161,.368421,.3518519,54,19,0,3
-.7626567,.368421,.3518519,54,19,0,3
-.8674831,.368421,.3518519,54,19,0,3
.1807815,.368421,.3518519,54,19,1,3
-.6578302,.3913043,.4375,64,23,1,4
-1.538373,.3913043,.4375,64,23,1,4
-.5530037,.3913043,.4375,64,23,0,4
-.0288714,.3913043,.4375,64,23,0,4
-.4691426,.3913043,.4375,64,23,0,4
.1807815,.3913043,.4375,64,23,0,4
.075955,.3913043,.4375,64,23,1,4
-.7626567,.3913043,.4375,64,23,1,4
-.1546632,.3913043,.4375,64,23,1,4
-.3643161,.3913043,.4375,64,23,0,4
-.7626567,.3913043,.4375,64,23,0,4
-.4691426,.3913043,.4375,64,23,1,4
.1807815,.3913043,.4375,64,23,0,4
.075955,.3913043,.4375,64,23,1,4
.8936014,.3913043,.4375,64,23,1,4
.075955,.3913043,.4375,64,23,0,4
.3065732,.3913043,.4375,64,23,0,4
-.6578302,.3913043,.4375,64,23,1,4
-.6578302,.3913043,.4375,64,23,0,4
-.0288714,.4117647,.4375,64,17,1,5
-.0288714,.4117647,.4375,64,17,0,5
-.1546632,.4117647,.4375,64,17,0,5
-.3643161,.4117647,.4375,64,17,0,5
-1.181962,.4117647,.4375,64,17,0,5
.7258791,.4117647,.4375,64,17,0,5
-.4691426,.4117647,.4375,64,17,1,5
-.2594897,.4117647,.4375,64,17,0,5
-.8674831,.4117647,.4375,64,17,0,5
-.5530037,.4117647,.4375,64,17,0,5
.5791221,.4117647,.4375,64,17,1,5
-.0288714,.4117647,.4375,64,17,1,5
-.0288714,.4117647,.4375,64,17,0,5
.3065732,.4117647,.4375,64,17,1,5
.3065732,.4117647,.4375,64,17,1,5
.7258791,.5,.4375,64,24,1,6
-.9723096,.5,.4375,64,24,1,6
-.0288714,.5,.4375,64,24,0,6
-.2594897,.5,.4375,64,24,0,6
-.6578302,.5,.4375,64,24,0,6
-.6578302,.5,.4375,64,24,1,6
1.061324,.5,.4375,64,24,0,6
-.1546632,.5,.4375,64,24,0,6
.3065732,.5,.4375,64,24,1,6
-.2594897,.5,.4375,64,24,1,6
-.5530037,.5,.4375,64,24,1,6
-1.181962,.5,.4375,64,24,1,6
.8936014,.5,.4375,64,24,0,6
